SINR[186][1]=0.0230694 and in dB, it is -16.3696
SINR[186][2]=0.133965 and in dB, it is -8.73008
SINR[187][1]=0.00239754 and in dB, it is -26.2023
SINR[187][2]=0.742534 and in dB, it is -1.29284
SINR[188][1]=0.00201379 and in dB, it is -26.9599
SINR[188][2]=0.791768 and in dB, it is -1.01402
SINR[189][1]=0.0180235 and in dB, it is -17.4416
SINR[189][2]=9.94483 and in dB, it is 9.97597
SINR[190][1]=0.0106428 and in dB, it is -19.7294
SINR[190][2]=0.316577 and in dB, it is -4.99521
SINR[191][1]=0.00643812 and in dB, it is -21.9124
SINR[191][2]=0.664117 and in dB, it is -1.77755
SINR[192][1]=0.00138561 and in dB, it is -28.5836
SINR[192][2]=0.208344 and in dB, it is -6.81219
SINR[193][1]=0.00660563 and in dB, it is -21.8009
SINR[193][2]=0.231183 and in dB, it is -6.36045
SINR[194][1]=0.0168918 and in dB, it is -17.7233
SINR[194][2]=0.163534 and in dB, it is -7.86393
SINR[195][1]=0.0030369 and in dB, it is -25.1757
SINR[195][2]=1.41163 and in dB, it is 1.4972
SINR[196][1]=0.00468228 and in dB, it is -23.2954
SINR[196][2]=0.919103 and in dB, it is -0.366357
SINR[197][1]=0.00454153 and in dB, it is -23.428
SINR[197][2]=0.0742167 and in dB, it is -11.295
SINR[198][1]=0.00329776 and in dB, it is -24.8178
SINR[198][2]=0.157701 and in dB, it is -8.02164
SINR[199][1]=0.0300304 and in dB, it is -15.2244
SINR[199][2]=0.233617 and in dB, it is -6.31495
SINR[200][1]=0.00261118 and in dB, it is -25.8316
SINR[200][2]=0.840425 and in dB, it is -0.755009
SINR[201][1]=0.000660118 and in dB, it is -31.8038
SINR[201][2]=0.173598 and in dB, it is -7.60455
SINR[202][1]=0.00526188 and in dB, it is -22.7886
SINR[202][2]=9.08925 and in dB, it is 9.58528
SINR[203][1]=0.00068604 and in dB, it is -31.6365
SINR[203][2]=0.18587 and in dB, it is -7.3079
SINR[204][1]=0.000944814 and in dB, it is -30.2465
SINR[204][2]=0.323397 and in dB, it is -4.90263
SINR[205][1]=0.000381034 and in dB, it is -34.1904
SINR[205][2]=0.0676964 and in dB, it is -11.6943
SINR[206][1]=0.00797143 and in dB, it is -20.9846
SINR[206][2]=24.0101 and in dB, it is 13.8039
SINR[207][1]=0.012634 and in dB, it is -18.9846
SINR[207][2]=0.55575 and in dB, it is -2.55121
SINR[208][1]=0.137456 and in dB, it is -8.61835
SINR[208][2]=2.49292 and in dB, it is 3.96708
SINR[209][1]=0.0666154 and in dB, it is -11.7643
SINR[209][2]=0.197463 and in dB, it is -7.04514
SINR[210][1]=0.000702936 and in dB, it is -31.5308
SINR[210][2]=0.177466 and in dB, it is -7.50885
SINR[211][1]=0.0021454 and in dB, it is -26.6849
SINR[211][2]=1.39296 and in dB, it is 1.4394
SINR[212][1]=0.0060305 and in dB, it is -22.1965
SINR[212][2]=1.15642 and in dB, it is 0.631165
SINR[213][1]=0.00892763 and in dB, it is -20.4926
SINR[213][2]=0.244951 and in dB, it is -6.10921
SINR[214][1]=0.00278361 and in dB, it is -25.5539
SINR[214][2]=2.08737 and in dB, it is 3.196
SINR[215][1]=0.0515584 and in dB, it is -12.877
SINR[215][2]=0.243584 and in dB, it is -6.13351
SINR[216][1]=0.00108854 and in dB, it is -29.6316
SINR[216][2]=0.146912 and in dB, it is -8.32943
SINR[217][1]=0.00926772 and in dB, it is -20.3303
SINR[217][2]=0.0978504 and in dB, it is -10.0944
SINR[218][1]=0.00131179 and in dB, it is -28.8213
SINR[218][2]=0.180754 and in dB, it is -7.42913
SINR[219][1]=0.00689502 and in dB, it is -21.6146
SINR[219][2]=28.8722 and in dB, it is 14.6048
SINR[220][1]=0.348281 and in dB, it is -4.58071
SINR[220][2]=2.78264 and in dB, it is 4.44457
SINR[221][1]=0.00135576 and in dB, it is -28.6782
SINR[221][2]=0.204155 and in dB, it is -6.90039
SINR[222][1]=0.00165002 and in dB, it is -27.8251
SINR[222][2]=0.0413609 and in dB, it is -13.8341
SINR[223][1]=0.0557145 and in dB, it is -12.5403
SINR[223][2]=0.253228 and in dB, it is -5.96488
SINR[224][1]=0.0027487 and in dB, it is -25.6087
SINR[224][2]=0.628101 and in dB, it is -2.01971
SINR[225][1]=0.00164406 and in dB, it is -27.8408
SINR[225][2]=0.905466 and in dB, it is -0.43128
