% time	cellId	IMSI	RNTI	sinrLinear
0.542	1	2	2	4.65915e+11
0.543	1	3	3	1.1224e+12
0.544	1	4	4	9.10602e+11
0.545	1	5	5	8.50965e+11
0.546	1	6	6	1.06001e+12
0.547	1	7	7	1.19215e+12
0.548	1	8	8	7.39896e+11
0.549	1	9	9	4.23643e+11
0.55	1	10	10	7.50046e+11
0.551	1	1	1	6.12294e+11
0.552	1	2	2	5.1091e+11
0.553	1	3	3	9.26244e+11
0.554	1	4	4	6.75077e+11
0.555	1	5	5	9.60035e+11
0.556	1	6	6	1.04397e+12
0.557	1	7	7	1.25412e+12
0.558	1	8	8	7.0808e+11
0.559	1	9	9	4.02116e+11
0.56	1	10	10	7.73647e+11
0.561	1	1	1	6.02775e+11
0.562	1	2	2	7.38035e+11
0.563	1	3	3	7.35581e+11
0.564	1	4	4	4.6404e+11
0.565	1	5	5	1.01558e+12
0.566	1	6	6	1.02358e+12
0.567	1	7	7	1.28457e+12
0.568	1	8	8	6.22922e+11
0.569	1	9	9	5.54448e+11
0.57	1	10	10	8.27198e+11
0.571	1	1	1	5.93236e+11
0.572	1	2	2	1.13515e+12
0.573	1	3	3	6.03014e+11
0.574	1	4	4	3.12963e+11
0.575	1	5	5	9.99877e+11
0.576	1	6	6	9.86183e+11
0.577	1	7	7	1.26147e+12
0.578	1	8	8	5.12335e+11
0.579	1	9	9	8.72256e+11
0.58	1	10	10	9.10428e+11
0.581	1	1	1	5.76173e+11
0.582	1	2	2	1.65435e+12
0.583	1	3	3	5.60733e+11
0.584	1	4	4	2.32985e+11
0.585	1	5	5	9.18444e+11
0.586	1	6	6	9.26916e+11
0.587	1	7	7	1.17105e+12
0.588	1	8	8	4.11434e+11
0.589	1	9	9	1.2926e+12
0.59	1	10	10	1.01403e+12
0.591	1	1	1	5.39601e+11
0.592	1	2	2	2.22583e+12
0.593	1	3	3	6.11657e+11
0.594	1	4	4	2.13122e+11
0.595	1	5	5	7.97727e+11
0.596	1	6	6	8.47469e+11
0.597	1	7	7	1.01764e+12
0.598	1	8	8	3.53653e+11
0.599	1	9	9	1.70799e+12
0.6	1	10	10	1.11889e+12
0.601	1	1	1	4.73456e+11
0.602	1	2	2	2.76822e+12
0.603	1	3	3	7.28785e+11
0.604	1	4	4	2.30514e+11
0.605	1	5	5	6.77137e+11
0.606	1	6	6	7.59912e+11
0.607	1	7	7	8.29152e+11
0.608	1	8	8	3.61046e+11
0.609	1	9	9	2.00417e+12
0.61	1	10	10	1.19771e+12
0.611	1	1	1	3.78494e+11
0.612	1	2	2	3.20533e+12
0.613	1	3	3	8.66108e+11
0.614	1	4	4	2.60277e+11
0.615	1	5	5	5.92523e+11
0.616	1	6	6	6.75983e+11
0.617	1	7	7	6.48443e+11
0.618	1	8	8	4.36893e+11
0.619	1	9	9	2.10243e+12
0.62	1	10	10	1.22459e+12
0.621	1	1	1	2.67277e+11
0.622	1	2	2	3.48302e+12
0.623	1	3	3	9.73441e+11
0.624	1	4	4	2.87321e+11
0.625	1	5	5	5.63728e+11
0.626	1	6	6	6.06416e+11
0.627	1	7	7	5.23578e+11
0.628	1	8	8	5.64565e+11
0.629	1	9	9	1.98753e+12
0.63	1	10	10	1.18542e+12
0.631	1	1	1	1.64009e+11
0.632	1	2	2	3.57758e+12
0.633	1	3	3	1.00972e+12
0.634	1	4	4	3.09208e+11
0.635	1	5	5	5.88331e+11
0.636	1	6	6	5.5567e+11
0.637	1	7	7	4.89695e+11
0.638	1	8	8	7.11852e+11
0.639	1	9	9	1.70722e+12
0.64	1	10	10	1.07882e+12
0.641	1	1	1	9.82722e+10
0.642	1	2	2	3.48833e+12
0.643	1	3	3	9.6139e+11
0.644	1	4	4	3.31436e+11
0.645	1	5	5	6.42643e+11
0.646	1	6	6	5.20205e+11
0.647	1	7	7	5.57475e+11
0.648	1	8	8	8.39075e+11
0.649	1	9	9	1.37072e+12
0.65	1	10	10	9.26416e+11
0.651	1	1	1	9.53555e+10
0.652	1	2	2	3.24865e+12
0.653	1	3	3	8.37544e+11
0.654	1	4	4	3.60742e+11
0.655	1	5	5	6.91178e+11
0.656	1	6	6	4.9045e+11
0.657	1	7	7	7.07489e+11
0.658	1	8	8	9.08918e+11
0.659	1	9	9	1.10119e+12
0.66	1	10	10	7.59817e+11
0.661	1	1	1	1.68404e+11
0.662	1	2	2	2.90131e+12
0.663	1	3	3	6.72618e+11
0.664	1	4	4	3.98147e+11
0.665	1	5	5	7.02727e+11
0.666	1	6	6	4.5585e+11
0.667	1	7	7	8.92025e+11
0.668	1	8	8	9.00669e+11
0.669	1	9	9	1.00269e+12
0.67	1	10	10	6.16143e+11
0.671	1	1	1	3.12103e+11
0.672	1	2	2	2.49359e+12
0.673	1	3	3	5.10571e+11
0.674	1	4	4	4.36137e+11
0.675	1	5	5	6.59165e+11
0.676	1	6	6	4.09785e+11
0.677	1	7	7	1.04963e+12
0.678	1	8	8	8.11159e+11
0.679	1	9	9	1.12129e+12
0.68	1	10	10	5.27268e+11
0.681	1	1	1	5.02189e+11
0.682	1	2	2	2.06799e+12
0.683	1	3	3	3.93092e+11
0.684	1	4	4	4.60844e+11
0.685	1	5	5	5.6683e+11
0.686	1	6	6	3.54952e+11
0.687	1	7	7	1.1259e+12
0.688	1	8	8	6.61769e+11
0.689	1	9	9	1.42809e+12
0.69	1	10	10	5.07573e+11
0.691	1	1	1	7.02216e+11
0.692	1	2	2	1.65456e+12
0.693	1	3	3	3.46877e+11
0.694	1	4	4	4.57886e+11
0.695	1	5	5	4.49869e+11
0.696	1	6	6	3.02999e+11
0.697	1	7	7	1.09202e+12
0.698	1	8	8	4.88195e+11
0.699	1	9	9	1.83165e+12
0.7	1	10	10	5.48722e+11
0.701	1	1	1	8.73107e+11
0.702	1	2	2	1.27519e+12
0.703	1	3	3	3.77331e+11
0.704	1	4	4	4.20381e+11
0.705	1	5	5	3.4271e+11
0.706	1	6	6	2.72448e+11
0.707	1	7	7	9.52822e+11
0.708	1	8	8	3.32837e+11
0.709	1	9	9	2.20405e+12
0.71	1	10	10	6.23282e+11
0.711	1	1	1	9.81667e+11
0.712	1	2	2	9.48406e+11
0.713	1	3	3	4.6637e+11
0.714	1	4	4	3.54644e+11
0.715	1	5	5	2.78265e+11
0.716	1	6	6	2.85132e+11
0.717	1	7	7	7.48851e+11
0.718	1	8	8	2.32756e+11
0.719	1	9	9	2.42427e+12
0.72	1	10	10	6.92635e+11
0.721	1	1	1	1.01343e+12
0.722	1	2	2	6.91256e+11
0.723	1	3	3	5.80499e+11
0.724	1	4	4	2.78096e+11
0.725	1	5	5	2.77553e+11
0.726	1	6	6	3.57348e+11
0.727	1	7	7	5.37597e+11
0.728	1	8	8	2.06879e+11
0.729	1	9	9	2.4217e+12
0.73	1	10	10	7.20665e+11
0.731	1	1	1	9.71858e+11
0.732	1	2	2	5.22063e+11
0.733	1	3	3	6.8116e+11
0.734	1	4	4	2.16679e+11
0.735	1	5	5	3.42944e+11
0.736	1	6	6	4.92644e+11
0.737	1	7	7	3.8028e+11
0.738	1	8	8	2.49933e+11
0.739	1	9	9	2.19553e+12
0.74	1	10	10	6.86349e+11
0.741	1	1	1	8.77052e+11
0.742	1	2	2	4.56744e+11
0.743	1	3	3	7.35251e+11
0.744	1	4	4	1.95135e+11
0.745	1	5	5	4.61054e+11
0.746	1	6	6	6.79014e+11
0.747	1	7	7	3.17525e+11
0.748	1	8	8	3.36316e+11
0.749	1	9	9	1.80563e+12
0.75	1	10	10	5.86468e+11
0.751	1	1	1	7.57061e+11
0.752	1	2	2	5.00234e+11
0.753	1	3	3	7.28156e+11
0.754	1	4	4	2.28109e+11
0.755	1	5	5	6.08861e+11
0.756	1	6	6	8.9004e+11
0.757	1	7	7	3.57522e+11
0.758	1	8	8	4.29295e+11
0.759	1	9	9	1.37101e+12
0.76	1	10	10	4.4211e+11
0.761	1	1	1	6.38229e+11
0.762	1	2	2	6.40765e+11
0.763	1	3	3	6.61866e+11
0.764	1	4	4	3.1482e+11
0.765	1	5	5	7.61963e+11
0.766	1	6	6	1.09283e+12
0.767	1	7	7	4.745e+11
0.768	1	8	8	4.93208e+11
0.769	1	9	9	1.01302e+12
0.77	1	10	10	2.88011e+11
0.771	1	1	1	5.38896e+11
0.772	1	2	2	8.46183e+11
