% time	cellId	IMSI	RNTI	sinrLinear
0.399	1	9	9	0.0279288
0.4	1	10	10	1.21727e+12
0.401	1	1	1	2.21968
0.402	1	2	2	2.24177
0.403	1	3	3	0.233112
0.404	1	4	4	0.111278
0.405	1	5	5	0.140401
0.406	1	6	6	0.0783634
0.407	1	7	7	0.0481318
0.408	1	8	8	0.0506985
0.409	1	9	9	0.0228944
0.41	1	10	10	1.15e+12
0.411	1	1	1	2.26789
0.412	1	2	2	2.86983
0.413	1	3	3	0.301918
0.414	1	4	4	0.149236
0.415	1	5	5	0.100601
0.416	1	6	6	0.0583688
0.417	1	7	7	0.0546459
0.418	1	8	8	0.0536118
0.419	1	9	9	0.0170909
0.42	1	10	10	1.02184e+12
0.421	1	1	1	3.71806
0.422	1	2	2	3.49158
0.423	1	3	3	0.445679
0.424	1	4	4	0.220543
0.425	1	5	5	0.0679488
0.426	1	6	6	0.0419509
0.427	1	7	7	0.0584886
0.428	1	8	8	0.0517628
0.429	1	9	9	0.011694
0.43	1	10	10	8.59415e+11
0.431	1	1	1	6.0113
0.432	1	2	2	3.99167
0.433	1	3	3	0.637698
0.434	1	4	4	0.307316
0.435	1	5	5	0.0468805
0.436	1	6	6	0.0317859
0.437	1	7	7	0.0575027
0.438	1	8	8	0.0454215
0.439	1	9	9	0.00768925
0.44	1	10	10	6.97519e+11
0.441	1	1	1	8.38462
0.442	1	2	2	4.29155
0.443	1	3	3	0.836916
0.444	1	4	4	0.387754
0.445	1	5	5	0.0376418
0.446	1	6	6	0.0284631
0.447	1	7	7	0.0515839
0.448	1	8	8	0.0362621
0.449	1	9	9	0.00558026
0.45	1	10	10	5.72685e+11
0.451	1	1	1	10.1346
0.452	1	2	2	4.36913
0.453	1	3	3	0.998352
0.454	1	4	4	0.44094
0.455	1	5	5	0.0373216
0.456	1	6	6	0.030859
0.457	1	7	7	0.0428701
0.458	1	8	8	0.0264162
0.459	1	9	9	0.00533558
0.46	1	10	10	5.11144e+11
0.461	1	1	1	10.8039
0.462	1	2	2	4.24354
0.463	1	3	3	1.08377
0.464	1	4	4	0.45396
0.465	1	5	5	0.0416208
0.466	1	6	6	0.0371214
0.467	1	7	7	0.0349567
0.468	1	8	8	0.0179774
0.469	1	9	9	0.00648117
0.47	1	10	10	5.17793e+11
0.471	1	1	1	10.3857
0.472	1	2	2	3.98428
0.473	1	3	3	1.07608
0.474	1	4	4	0.425919
0.475	1	5	5	0.0467346
0.476	1	6	6	0.0451907
0.477	1	7	7	0.0312024
0.478	1	8	8	0.0122299
0.479	1	9	9	0.00831829
0.48	1	10	10	5.76635e+11
0.481	1	1	1	9.23565
0.482	1	2	2	3.66392
0.483	1	3	3	0.979662
0.484	1	4	4	0.366228
